Approach,Segment_Length,Fold,Accuracy,Precision,Recall,F1_Score
RNN_SMV,128,5,0.6956521739130435,0.6966666666666667,0.6545454545454545,0.6741200828157349
RNN_SMV,256,1,0.5583333333333333,0.5564102564102564,0.6,0.5767179487179488
RNN_SMV,256,2,0.6608695652173914,0.7778932178932181,0.5692307692307692,0.6530698287220026
RNN_SMV,256,3,0.6260869565217392,0.5894444444444444,0.48,0.5252631578947369
RNN_SMV,256,4,0.7304347826086957,0.9703296703296704,0.6777777777777778,0.7968047830923248
RNN_SMV,256,5,0.6695652173913044,0.6484848484848484,0.6727272727272726,0.6600790513833992
RNN_SMV,512,1,0.525,0.5225490196078432,0.65,0.5773125342090859
RNN_SMV,512,2,0.6782608695652174,0.6976809954751132,0.7692307692307693,0.729160035366932
RNN_SMV,512,3,0.6173913043478261,0.5493240093240093,0.72,0.6214782608695653
RNN_SMV,512,4,0.5217391304347826,1.0,0.38888888888888884,0.5475283337352302
RNN_SMV,512,5,0.6695652173913045,0.6346853146853146,0.7454545454545455,0.6839160839160839
RNN_SMV,1024,1,0.5916666666666667,0.5717171717171716,0.7333333333333334,0.6350724637681159
RNN_SMV,1024,2,0.7391304347826088,0.7335940530058178,0.8461538461538461,0.7841252999873689
RNN_SMV,1024,3,0.5130434782608695,0.45714882943143814,0.6799999999999999,0.5339768926725449
RNN_SMV,1024,4,0.43478260869565216,0.78,0.28888888888888886,0.3823513328776487
RNN_SMV,1024,5,0.6,0.5839035087719299,0.7272727272727273,0.6375473801560758
RNN_WA,32,1,0.7083333333333334,0.6845021645021645,0.7833333333333334,0.7283042239563978
RNN_WA,32,2,0.7043478260869566,0.8628427128427129,0.5692307692307692,0.682121212121212
RNN_WA,32,3,0.7304347826086957,0.8214285714285715,0.5,0.6137955182072828
RNN_WA,32,4,0.7391304347826086,1.0,0.6666666666666667,0.798932146829811
RNN_WA,32,5,0.791304347826087,0.8877777777777777,0.6545454545454545,0.7482942650744508
RNN_WA,64,1,0.7250000000000001,0.7563636363636365,0.6666666666666666,0.708300395256917
RNN_WA,64,2,0.7304347826086955,0.8286868686868687,0.6615384615384615,0.7345849802371541
RNN_WA,64,3,0.6869565217391304,0.7047619047619047,0.48,0.5705882352941176
RNN_WA,64,4,0.7217391304347824,0.9857142857142858,0.6555555555555556,0.785948275862069
RNN_WA,64,5,0.7217391304347824,0.7280719280719282,0.690909090909091,0.7015151515151515
RNN_WA,128,1,0.6833333333333333,0.7121212121212122,0.6166666666666666,0.659476755128929
RNN_WA,128,2,0.7217391304347825,0.800909090909091,0.676923076923077,0.7331304347826086
RNN_WA,128,3,0.6782608695652174,0.6869047619047619,0.48,0.5640522875816995
RNN_WA,128,4,0.7652173913043478,0.9857142857142858,0.711111111111111,0.825725806451613
RNN_WA,128,5,0.7043478260869566,0.6964102564102564,0.6909090909090909,0.691511387163561
RNN_WA,256,1,0.5916666666666667,0.5870163170163171,0.6333333333333333,0.6074314381270903
RNN_WA,256,2,0.6869565217391305,0.7754545454545456,0.6307692307692307,0.6947246376811594
RNN_WA,256,3,0.6173913043478261,0.5733766233766234,0.5,0.5306255835667602
RNN_WA,256,4,0.7652173913043478,1.0,0.7,0.8232258064516129
RNN_WA,256,5,0.6782608695652175,0.6503496503496503,0.709090909090909,0.6779973649538866
RNN_WA,512,1,0.55,0.5378725849314085,0.7,0.6062185171150688
RNN_WA,512,2,0.6782608695652174,0.69705523234935,0.7846153846153847,0.7339810679165518
RNN_WA,512,3,0.6347826086956522,0.5710256410256409,0.72,0.6336785243741766
RNN_WA,512,4,0.5565217391304348,1.0,0.4333333333333334,0.5950909160804213
RNN_WA,512,5,0.6695652173913043,0.6263736263736264,0.7636363636363637,0.688
RNN_WA,1024,1,0.5666666666666667,0.5523809523809524,0.75,0.6306410256410256
RNN_WA,1024,2,0.7652173913043478,0.7583193277310925,0.8615384615384615,0.8039087757708447
RNN_WA,1024,3,0.5391304347826087,0.5265953654188948,0.7,0.5640370370370371
RNN_WA,1024,4,0.4695652173913043,0.8,0.32222222222222224,0.4233263510682866
RNN_WA,1024,5,0.608695652173913,0.5726495726495726,0.8,0.6639208173690931
