Approach,Segment_Length,Fold,Accuracy,Precision,Recall,F1_Score
RNN_SMV,1024,3,0.6608695652173914,0.6555555555555554,0.5,0.5618421052631579
RNN_SMV,1024,4,0.2695652173913044,0.6,0.06666666666666667,0.12000000000000002
RNN_SMV,1024,5,0.5826086956521739,0.5806060606060606,0.4909090909090909,0.5222727272727272
RNN_WA,32,1,0.8,0.8424242424242425,0.75,0.7889855072463768
RNN_WA,32,2,0.7652173913043478,0.9577777777777777,0.6153846153846154,0.7467381893468851
RNN_WA,32,3,0.7652173913043478,0.8761904761904761,0.56,0.6753353973168215
RNN_WA,32,4,0.7391304347826086,1.0,0.6666666666666667,0.7973232162720484
RNN_WA,32,5,0.8,0.95,0.618181818181818,0.7470244238046095
RNN_WA,64,1,0.7416666666666667,0.8446608946608947,0.6,0.6978271766372453
RNN_WA,64,2,0.7391304347826086,0.886984126984127,0.6153846153846154,0.7239525691699604
RNN_WA,64,3,0.7130434782608694,0.8428571428571429,0.44000000000000006,0.571218487394958
RNN_WA,64,4,0.6956521739130436,0.9714285714285715,0.6333333333333334,0.7611904761904762
RNN_WA,64,5,0.7478260869565216,0.8603174603174603,0.6,0.6948167092924126
RNN_WA,128,1,0.6833333333333333,0.7661383061383062,0.55,0.6216925262858766
RNN_WA,128,2,0.7391304347826086,0.8814141414141414,0.6307692307692309,0.7311067193675889
RNN_WA,128,3,0.6869565217391305,0.7023809523809523,0.48,0.5686274509803921
RNN_WA,128,4,0.6956521739130433,0.9380952380952381,0.6555555555555557,0.7700574712643679
RNN_WA,128,5,0.7304347826086955,0.7142424242424242,0.7272727272727273,0.7198945981554677
RNN_WA,256,1,0.7333333333333333,0.8492063492063492,0.5666666666666667,0.6786967418546366
RNN_WA,256,2,0.6695652173913044,0.7855555555555556,0.5692307692307692,0.6589497459062675
RNN_WA,256,3,0.6956521739130435,0.7628571428571429,0.44000000000000006,0.5559803921568627
RNN_WA,256,4,0.7478260869565216,0.9438095238095239,0.7222222222222221,0.8171969696969696
RNN_WA,256,5,0.6869565217391304,0.6860606060606059,0.6363636363636364,0.6593939393939394
RNN_WA,512,1,0.5083333333333333,0.5138888888888888,0.45,0.47619047619047616
RNN_WA,512,2,0.6869565217391304,0.8287878787878789,0.5692307692307692,0.6727272727272727
RNN_WA,512,3,0.7217391304347827,0.7761904761904762,0.52,0.6189628482972136
RNN_WA,512,4,0.6086956521739131,1.0,0.5,0.6659340659340659
RNN_WA,512,5,0.6956521739130433,0.7006060606060605,0.6363636363636364,0.6663203463203462
RNN_WA,1024,1,0.525,0.5457575757575757,0.45,0.48566095740008786
RNN_WA,1024,2,0.5739130434782609,0.6811904761904761,0.4615384615384615,0.5478072651985696
RNN_WA,1024,3,0.7043478260869565,0.6987012987012986,0.58,0.6271413828689371
RNN_WA,1024,4,0.30434782608695654,1.0,0.11111111111111112,0.19011441647597252
RNN_WA,1024,5,0.5826086956521739,0.5726190476190476,0.5636363636363636,0.5619588100686499
